movie_name,language
Bombshell,English
Hippi,Telugu
Nanna Prema,Telugu
City of football,Bengali
Eye To Eye With Everest: Death On A Mountain,English
Kanhaiya Ek Yodha (Hindi),Hindi
Yajamana,Kannada
Kharij,Bengali
Dash Mash Dash Diner Galpo,Bengali
Bodhai Yeri Budhi Maari,Tamil
Manikarnika: The Queen of Jhansi,Tamil
The Cabin Guard,Bengali
Sharkwater Extinction,English
Zombieland: Double Tap,Telugu
Invisible Wildlife Photographer,English
Letters From Generation RX,English
Captain Monsterica & The Purple Protector,English
Doorbeen,Punjabi
"YASHKA, BATTALION OF DEATH",English
Mongolia - In The Shadow of Genghis Khan,English
Yatra (Malayalam),Malayalam
Bazaar,Kannada
Dugout,English
Mithai,Telugu
Bandobast,Telugu
100,Tamil
Yatra (Telugu),Telugu
Sagaa,Tamil
Kalikkoottukar,Malayalam
Hangover : A Mistake of Last Peg,Kannada
Shakthi,Telugu
Ethiopia By Tuk tuk,English
Jugni Yaaran Di,Punjabi
How The Earth Became Round,English
The Courier,Tamil
Boss,Bengali
Dora And The Lost City Of Gold,English
Mantra – Sounds of Silence,English
Sullu,Malayalam
Odeya,Kannada
Black and Blue,English
Chitralahari,Telugu
Western Stars,English
Aadi Lakshmi Puraana,Kannada
GIRGITLE,Kannada
Overcomer,English
Vinci Da,Bengali
The Upside,English
War (Hindi),Hindi
PlayMe Burlesque,English
Ghawre Bairey Aaj,Bengali
Shah Jahan Regency,Bengali
Bakrid,Tamil
Avane Srimannarayana,Kannada
Vellai Pookal,Tamil
Saaho (Telugu),Telugu
Little Women,Telugu
The Goldfinch,English
Chambal,Kannada
Shelter,English
Nagordola,Bengali
Girlz,Marathi
Godzilla: King of The Monsters,Hindi
Walls,English
Motu Patlu King of Kings,Hindi
Transformers Prime Predacons Rising,English
Batla House,Hindi
A Beautiful Day in the Neighborhood,Tamil
Petromax,Tamil
Kidnap,Bengali
Mukherjee Dar Bou,Bengali
Shesh Theke Shuru,Bengali
The Bumble Nums 2 - Super Simple,English
Mighty Raju - Superhero School,Hindi
Jashoda,Bengali
Chandigarh Amritsar Chandigarh,Punjabi
Brochevaruevarura,Telugu
ISHQAA,Punjabi
Khichik,Marathi
"Hunan, The Other World of the Avatar",English
Mei,Tamil
Sethum Aayiram Pon,Tamil
NTR: Kathanayakudu,Telugu
Mighty Raju - Time Travel,Hindi
Jodi,Telugu
Vinara Sodara Veera Kumara,Tamil
Overcomer,Telugu
