maturity_rating,movie_name
All,Xcuse Me
13+,Dus
13+,Pinjar
NR,Ek Din Aadhi Raat
NR,Bezubaan
All,Notebook
All,Green Lantern
All,Kanoon
All,Alaap
All,Chhota Bheem Vs Zimbara
All,Chhota Bheem Aur Hanuman
NR,That Man In The Picture
18+,Chudail Story
All,Parasmani
18+,Aatma
NR,Sabrang
7+,Despicable Me 2
18+,No Strings Attached
NR,Sanjog
NR,Nai Roshni
NR,Kali Topi Lal Rumal
13+,Ab Tak Chhappan 2
13+,Jurassic Park III
NR,Sangram
7+,Shiva And The Wolf Boy
All,Dum
NR,Bandi
All,Bhairavi
18+,Badal
13+,Dil Kya Kare
All,Bhabhi
All,Lage Raho Munna Bhai
13+,Deewane Huye Paagal
13+,Dhol
All,Bal Hanuman IV - Attack Of The Universe
NR,Bees Saal Baad
18+,Annabelle Comes Home
18+,Ek Khiladi Ek Haseena
18+,Titli
NR,Badi Didi
NR,Vicky Donor
All,Khud-Daar
All,Chhoti Si Baat
NR,Hum Dil De Chuke Sanam
18+,Zombieland: Double Tap
All,Ek Ajooba
All,Nishchaiy
18+,Uss Din
13+,Union Leader
13+,Top Cat
NR,Zaroorat
NR,Dekh Tamasha Dekh
All,Toh Baat Pakki
7+,Shiva And The Lost Tribe
7+,Rudra: Trapped In Mirror World
18+,Maatr
NR,Age Of Dinosaurs
7+,Hichki
13+,Dil To Pagal Hai
13+,Baazigar
All,Pakdam Pakdai: Space Attack
13+,Sarkar
All,Chhota Bheem Aur Ganesh
NR,Bol
All,Padosan
13+,World War Z
13+,Gori Tere Pyaar Mein
All,Mere Khwabon Mein Jo Aaye
7+,Beauty and the Beast
13+,The Meg
NR,Ek Gaon Ki Kahani
All,Jaan Tere Naam
All,Main Tulsi Tere Aangan Ki
All,Jajantaram Mamantaram
7+,Overcomer
All,Chhota Bheem And Krishna
All,Dil Chahta Hai
13+,Parineeta
All,Chaloo Movie
NR,Ab Hoga Dharna Unlimited
18+,Jeepers Creepers 2
NR,Ishk Actually
13+,Tamanchey
13+,Sye Raa Narasimha Reddy (Hindi)
NR,Wardat
NR,Adhikar
