movie_name,language,year_of_release,maturity_rating,total_running_time_minutes,imdb_ratings
John Rambo,Tamil,2008,18+,86,7
American Pie,English,1999,18+,95,7
Bombshell,English,2019,18+,108,6.8
Love Birds,Tamil,1996,All,160,5.1
Hippi,Telugu,2019,18+,140,5
Honey Bunny As Super Team X,Tamil,2018,7+,49,0
Ayyaa,Tamil,2005,All,159,5.7
Mukhya Mantri,Bengali,1996,NR,117,0
Gandhi Fer Aa Gea,Punjabi,2020,13+,133,4.9
Premada Vayasu,Kannada,1997,NR,116,6
Tum Se Achcha Kaun Hai,Hindi,2002,All,141,4.5
Swamy,Kannada,2005,All,154,6
Ekkees Tareekh Shubh Muhurat,Hindi,2018,All,93,5.7
Sealers: One Last Hunt,English,2020,13+,56,7.7
Lonavala Bypass,Marathi,2009,13+,106,0
Project Almanac,English,2015,13+,106,6.4
Nanna Prema,Telugu,2019,13+,143,0
Ghost Stories,English,2018,18+,93,6.4
Basthi Mey Saval,Telugu,2002,NR,109,0
Jaani Dushman: Ek Anokhi Kahani,Hindi,2002,13+,152,2.8
Devdas,Hindi,None,All,155,7.6
Akashadoothu,Malayalam,1993,All,133,7.4
Mera Pind: My Home,Punjabi,2008,All,164,6.6
City of football,Bengali,2019,13+,2,0
300: Rise of an Empire,Tamil,2014,18+,102,6.2
Nana Mama,Marathi,2006,All,139,5.8
Hutututu Aavi Ramat Ni Rutu,Gujarati,2016,All,133,7.2
Uss Din,Hindi,2010,18+,11,7.4
Edge of Obedience,English,2020,13+,51,8.6
Eye To Eye With Everest: Death On A Mountain,English,2019,13+,85,0
Megh-O-Roudra,Bengali,None,NR,96,0
Kanhaiya Ek Yodha (Hindi),Hindi,2019,13+,116,4.7
Yajamana,Kannada,2019,13+,161,6.7
Sketch,Telugu,2018,13+,133,5.7
Toonpur Ka Superrhero,Hindi,2010,NR,95,4.2
Pinky Mogewali,Punjabi,2012,13+,134,3.7
Ong-Bak: Muay Thai Warrior,English,2005,16+,100,7.2
Murder,Telugu,2020,13+,110,0
Great Sardaar,Punjabi,2017,13+,108,5.2
Kharij,Bengali,2019,13+,90,0
Open Water,English,2004,18+,79,5.7
Prema Kama,Kannada,1978,NR,98,5.9
Jhankaar Beats,Hindi,2003,18+,131,7.2
Volcano Returns,Hindi,2014,NR,84,0
Law Abiding Citizen,Tamil,2009,18+,104,7.4
Sei To Abar Kache Ele,Bengali,2017,13+,138,0
48 Hrs.,English,1982,18+,96,6.9
K.G.F: Chapter 1 (Malayalam),Malayalam,2018,13+,154,8.2
Stronger (2017),English,2017,18+,119,6.9
Teen Cup Chaa,Bengali,2018,13+,47,5.7
Ramgarh Ke Sholay,Hindi,1991,All,124,4.8
Parampara,Hindi,1993,13+,148,5.7
Manmatha Raja,Kannada,1989,NR,129,5.1
Badal,Hindi,None,NR,135,4.9
Sahara,Hindi,None,NR,135,6
Jamalaye Jibanta Manush,Bengali,None,NR,123,7.5
Dash Mash Dash Diner Galpo,Bengali,2019,All,114,5.7
Bodhai Yeri Budhi Maari,Tamil,2019,13+,117,6.4
Crack,Kannada,2017,NR,142,0
Campus,Telugu,2000,NR,70,0
Hare Kanch Ki Chooriyan,Hindi,None,NR,147,6.5
Pagadi Aattam,Tamil,2017,All,122,5.7
World War Z,Hindi,2013,13+,116,7
Joy of Data,English,2016,13+,59,6.9
Faasle,Hindi,1985,16+,146,4.6
Vasudev Balwant Phadke,Marathi,2007,All,126,6.5
Sakthivel,Tamil,1994,All,149,0
Angakkuri,Malayalam,1979,NR,142,0
Thinkalaazhcha Nalla Divasam,Malayalam,1985,All,119,7.2
Adhyan,Tamil,2015,All,108,0
Keechu Raallu,Telugu,2005,NR,123,0
Uttara Dakshina,Kannada,1972,NR,145,0
Punnami Rathri,Telugu,1985,NR,121,0
Greenfingers,English,2001,18+,91,6.8
Vitamin She,Gujarati,2017,13+,137,5.7
Mayer Aasirbad,Bengali,2017,13+,158,0
Chaduranga,Kannada,1985,NR,138,6.1
Mugavaree,Tamil,2000,All,156,7.2
Qatil,Hindi,1988,13+,140,6
Noor Jahan,Bengali,2018,13+,142,5.3
Innuma Nambalai Namburanga,Tamil,2014,NR,130,0
Aftermath,English,2017,16+,93,5.7
Ranjha Refugee,Punjabi,2018,All,122,5.5
Jab Tak Hai Jaan,Hindi,2012,13+,176,6.7
Vendetta (2015),English,2015,16+,90,0
Partner,Hindi,2007,NR,142,5.7
Daphne,English,2017,18+,87,6.1
Urumbukal Urangarilla,Malayalam,2015,13+,133,6.4
Neeharika,Malayalam,2014,NR,110,0
Jayasimha,Kannada,1987,NR,141,7.1
Despicable Me,Hindi,2010,7+,94,7.6
Mud,English,2012,16+,130,7.4
Mere Yaar Ki Shaadi Hai,Hindi,2002,All,159,5.3
Homefront,English,2013,18+,96,6.5
Gladiator,English,2000,18+,154,8.5
Mantramugdha,Bengali,1977,NR,125,0
De Dana Dan,Hindi,2009,NR,167,5.4
Rockstar,Hindi,2011,NR,157,7.7
The Pursuit of Happyness,English,2006,All,117,8
Baba Taraknath,Bengali,1977,All,150,5.5
Rajlakshmi O Srikanta,Bengali,2017,13+,132,6.2
Surya IPS,Telugu,1991,NR,143,6.9
Dil Jo Na Keh Saka,Hindi,2017,13+,125,5.4
Champion,Telugu,1992,NR,126,0
Gatham (Kannada),Kannada,2020,18+,101,6.1
Dirty Dancing,English,1987,13+,100,7
Gatham (Malayalam),Malayalam,2020,18+,101,6.1
Ishhya,Marathi,2006,All,119,5.5
Ek Aur Ekk Gyaraah,Hindi,1981,NR,149,0
Universal Soldier: Day of Reckoning,Telugu,2012,18+,105,5
Manikarnika: The Queen of Jhansi,Tamil,2019,16+,140,6.4
Rowdy Baadshah,Hindi,2014,13+,130,6.4
Manamulla Marutharam,Tamil,1958,NR,147,0
Dare,Telugu,2011,NR,145,5.8
Jeevana Raagam,Telugu,1986,NR,135,0
Sugar Salt Ani Prem,Marathi,2015,All,125,6.2
Evil Eye,English,2020,16+,89,4.7
Swarg,Hindi,1990,All,151,6.7
Poojaikku Vantha Malar,Tamil,1965,NR,161,7.5
Bastard,English,2010,NR,7,0
Karunamoyee,Bengali,2017,13+,143,0
Nayakan,Tamil,1987,18+,156,8.6
Twister,Hindi,1996,13+,113,6.4
Bal Ganesh 3 (Tamil),Tamil,2015,7+,68,5.2
Goonda,Telugu,1984,NR,137,7
Bazar,Hindi,None,NR,148,6
LOL,English,2012,16+,92,4.4
Amari Duniya Tamari Duniya,Gujarati,2007,All,133,0
Project Y,English,2020,13+,44,0
Robin Hood,English,2010,13+,140,6.6
Mardaani,Hindi,2014,18+,113,7.3
